ra,dec,pmra,pmdec,parallax,radial_velocity
132.52244301932203,-56.765465558663244,-23.21090899825864,20.13477279445506,5.7930764541638196,
134.71625435291776,-57.14990364598714,-15.274086613817072,14.994222623223001,7.63054538598388,
134.4381690792106,-57.23803788196427,-19.84840468225557,26.585807428611897,7.610085183936024,
134.43842577148848,-57.23716750609515,-19.63400162067851,25.38007659655586,7.596551724724681,
140.12582611385898,-58.64015067231558,-12.939399332237098,19.79919345206471,6.237126385512544,4.80462
139.93704432008946,-58.58583581812755,-17.885416940089268,13.819064046289153,7.397207528033439,
138.86405477846355,-58.847792418134965,-23.845584008014352,20.61529100782169,6.8838835131308995,
138.86429639464967,-58.8476461662782,-15.047435505109846,14.01800028921311,6.866336596048085,
139.3150974141777,-58.73682752739882,-16.609999239652232,13.789018811468827,7.13179779945043,
138.85925935146318,-58.789916822900516,-15.375284736670142,15.253852822530462,7.246142253049667,21.543755
137.52347057736398,-58.377028880429116,-16.86935541439079,14.980954298759844,8.024641545044993,23.99319
